,symbol,exchangeShortName,type
547,ASH,NYSE,stock
548,MCHP,NASDAQ,stock
549,KLIC,NASDAQ,stock
550,FET,NYSE,stock
551,TPH,NYSE,stock
552,AMX,NYSE,stock
553,FLO,NYSE,stock
554,TEAM,NASDAQ,stock
555,COF,NYSE,stock
556,PFPT,NASDAQ,stock
557,FLT,NYSE,stock
558,PLUG,NASDAQ,stock
559,HIMX,NASDAQ,stock
560,IGT,NYSE,stock
561,FANG,NASDAQ,stock
562,TROW,NASDAQ,stock
563,ARLP,NASDAQ,stock
564,RXN,NYSE,stock
565,OSK,NYSE,stock
566,DHR,NYSE,stock
567,BLMN,NASDAQ,stock
568,AMN,NYSE,stock
569,PPC,NASDAQ,stock
570,GNTX,NASDAQ,stock
571,RCL,NYSE,stock
572,INTU,NASDAQ,stock
573,W,NYSE,stock
574,PCAR,NASDAQ,stock
575,IR,NYSE,stock
576,PEG,NYSE,stock
577,FBP,NYSE,stock
578,WEC,NYSE,stock
579,MDC,NYSE,stock
580,TISI,NYSE,stock
581,YUMC,NYSE,stock
582,ALV,NYSE,stock
583,BHP,NYSE,stock
584,BYD,NYSE,stock
585,WGO,NYSE,stock
586,KSU,NYSE,stock
587,PUMP,NYSE,stock
588,XLNX,NASDAQ,stock
589,FOLD,NASDAQ,stock
590,JBHT,NASDAQ,stock
591,FBHS,NYSE,stock
592,TXT,NYSE,stock
593,EXPD,NASDAQ,stock
594,EXPE,NASDAQ,stock
595,WERN,NASDAQ,stock
596,AGI,NYSE,stock
597,ED,NYSE,stock
598,HCSG,NASDAQ,stock
599,DVAX,NASDAQ,stock
600,DLTR,NASDAQ,stock
601,MTSI,NASDAQ,stock
602,DBD,NYSE,stock
603,CBT,NYSE,stock
604,BGCP,NASDAQ,stock
605,ABB,NYSE,stock
606,SWKS,NASDAQ,stock
607,CP,NYSE,stock
608,PNR,NYSE,stock
609,PKI,NYSE,stock
610,IIVI,NASDAQ,stock
611,CROX,NASDAQ,stock
612,ASB,NYSE,stock
613,UHS,NYSE,stock
614,ENB,NYSE,stock
615,TDC,NYSE,stock
616,AG,NYSE,stock
617,ACHC,NASDAQ,stock
618,NAT,NYSE,stock
619,MLHR,NASDAQ,stock
620,QRTEA,NASDAQ,stock
621,TRIP,NASDAQ,stock
622,TRP,NYSE,stock
623,FAST,NASDAQ,stock
624,RH,NYSE,stock
625,CBRE,NYSE,stock
626,HGV,NYSE,stock
627,AEG,NYSE,stock
628,BTI,NYSE,stock
629,NVS,NYSE,stock
630,EWBC,NASDAQ,stock
631,QSR,NYSE,stock
632,VRAY,NASDAQ,stock
633,SGH,NASDAQ,stock
634,ALNY,NASDAQ,stock
635,BMRN,NASDAQ,stock
636,CASA,NASDAQ,stock
637,HRTX,NASDAQ,stock
638,LDOS,NYSE,stock
639,TXMD,NASDAQ,stock
640,INSM,NASDAQ,stock
641,ETH,NYSE,stock
642,BGFV,NASDAQ,stock
643,AEE,NYSE,stock
644,HCC,NYSE,stock
645,EXEL,NASDAQ,stock
646,HZNP,NASDAQ,stock
647,ADI,NASDAQ,stock
648,AKBA,NASDAQ,stock
649,OLED,NASDAQ,stock
650,EYE,NASDAQ,stock
651,MBT,NYSE,stock
652,TMO,NYSE,stock
653,LBRDA,NASDAQ,stock
654,STT,NYSE,stock
655,HLF,NYSE,stock
656,WRK,NYSE,stock
657,BR,NYSE,stock
658,MCD,NYSE,stock
659,PRO,NYSE,stock
660,SSNC,NASDAQ,stock
661,CHTR,NASDAQ,stock
662,AXL,NYSE,stock
663,ACAD,NASDAQ,stock
664,VLY,NASDAQ,stock
665,VOD,NASDAQ,stock
666,EXTR,NASDAQ,stock
667,FEYE,NASDAQ,stock
668,SUN,NYSE,stock
669,VECO,NASDAQ,stock
670,ZEN,NYSE,stock
671,ATEN,NYSE,stock
672,CRC,NYSE,stock
673,ATUS,NYSE,stock
674,SIG,NYSE,stock
675,BDC,NYSE,stock
676,ERIC,NASDAQ,stock
677,XPO,NYSE,stock
678,APO,NYSE,stock
679,CRI,NYSE,stock
680,MANH,NASDAQ,stock
681,AGCO,NYSE,stock
682,TILE,NASDAQ,stock
683,MMC,NYSE,stock
684,GNW,NYSE,stock
685,CAKE,NASDAQ,stock
686,CAR,NASDAQ,stock
687,TMHC,NYSE,stock
688,URI,NYSE,stock
689,SPLK,NASDAQ,stock
690,VRSN,NASDAQ,stock
691,MCO,NYSE,stock
692,XOG,NASDAQ,stock
693,BZUN,NASDAQ,stock
694,PAGS,NYSE,stock
695,L,NYSE,stock
696,NWSA,NASDAQ,stock
697,MBI,NYSE,stock
698,ARNA,NASDAQ,stock
699,PDS,NYSE,stock
700,BCC,NYSE,stock
701,ULTA,NASDAQ,stock
702,PRTY,NYSE,stock
703,JACK,NASDAQ,stock
704,OGE,NYSE,stock
705,QGEN,NYSE,stock
706,CPRT,NASDAQ,stock
707,EAT,NYSE,stock
708,DXC,NYSE,stock
709,CLVS,NASDAQ,stock
710,KBR,NYSE,stock
711,STM,NYSE,stock
712,AQUA,NYSE,stock
713,EQT,NYSE,stock
714,FISV,NASDAQ,stock
715,SRE,NYSE,stock
716,SAVE,NYSE,stock
717,DXLG,NASDAQ,stock
718,NPTN,NYSE,stock
719,SQM,NYSE,stock
720,SXT,NYSE,stock
721,OMC,NYSE,stock
722,CVA,NYSE,stock
723,ONB,NASDAQ,stock
724,FMC,NYSE,stock
725,KN,NYSE,stock
726,KW,NYSE,stock
727,SCS,NYSE,stock
728,DFS,NYSE,stock
729,PH,NYSE,stock
730,CIEN,NYSE,stock
731,OIS,NYSE,stock
732,SCCO,NYSE,stock
733,YEXT,NYSE,stock
734,ATSG,NASDAQ,stock
735,REVG,NYSE,stock
736,ALLE,NYSE,stock
737,MHK,NYSE,stock
738,SPWH,NASDAQ,stock
739,TWNK,NASDAQ,stock
740,GRA,NYSE,stock
741,VNTR,NYSE,stock
742,SUM,NYSE,stock
743,RDFN,NASDAQ,stock
744,ERJ,NYSE,stock
745,UNM,NYSE,stock
746,NJR,NYSE,stock
747,ORBC,NASDAQ,stock
748,PAGP,NYSE,stock
749,LIVN,NASDAQ,stock
750,CTAS,NASDAQ,stock
751,REGI,NASDAQ,stock
752,VRNT,NASDAQ,stock
753,HAS,NASDAQ,stock
754,AOS,NYSE,stock
755,DGX,NYSE,stock
756,HALO,NASDAQ,stock
757,SGMO,NASDAQ,stock
758,KTOS,NASDAQ,stock
759,FIS,NYSE,stock
760,TRN,NYSE,stock
761,SPGI,NYSE,stock
762,BHF,NASDAQ,stock
763,RYAAY,NASDAQ,stock
764,AN,NYSE,stock
765,WDAY,NASDAQ,stock
766,MCK,NYSE,stock
767,VC,NASDAQ,stock
768,MUX,NYSE,stock
769,IEX,NYSE,stock
770,MXIM,NASDAQ,stock
771,TROX,NYSE,stock
772,OEC,NYSE,stock
773,ATH,NYSE,stock
774,CSOD,NASDAQ,stock
775,ABC,NYSE,stock
776,EFX,NYSE,stock
777,DPZ,NYSE,stock
778,ENLC,NYSE,stock
779,TTM,NYSE,stock
780,SIVB,NASDAQ,stock
781,MPLX,NYSE,stock
782,EC,NYSE,stock
783,FIVE,NASDAQ,stock
784,LPLA,NASDAQ,stock
785,SEIC,NASDAQ,stock
786,SIX,NYSE,stock
787,VEEV,NYSE,stock
788,FORM,NASDAQ,stock
789,BRKS,NASDAQ,stock
790,NVO,NYSE,stock
791,SWK,NYSE,stock
792,SNDR,NYSE,stock
793,VNDA,NASDAQ,stock
794,HTHT,NASDAQ,stock
795,EW,NYSE,stock
796,ROK,NYSE,stock
797,PENN,NASDAQ,stock
798,AMRN,NASDAQ,stock
799,ALL,NYSE,stock
800,IONS,NASDAQ,stock
801,APRN,NYSE,stock
802,KRNY,NASDAQ,stock
803,MFC,NYSE,stock
804,ZTS,NYSE,stock
805,BUD,NYSE,stock
806,UA,NYSE,stock
807,AROC,NYSE,stock
808,THO,NYSE,stock
809,BGNE,NASDAQ,stock
810,WB,NASDAQ,stock
811,KT,NYSE,stock
812,TGNA,NYSE,stock
813,CHGG,NYSE,stock
814,WM,NYSE,stock
815,ASX,NYSE,stock
816,BDSI,NASDAQ,stock
817,THRM,NASDAQ,stock
818,UMPQ,NASDAQ,stock
819,ALB,NYSE,stock
820,RHI,NYSE,stock
821,HLT,NYSE,stock
822,DNOW,NYSE,stock
823,PNFP,NASDAQ,stock
824,OC,NYSE,stock
825,RDNT,NASDAQ,stock
826,AGRO,NYSE,stock
827,AL,NYSE,stock
828,EVH,NYSE,stock
829,UIS,NYSE,stock
830,JELD,NYSE,stock
831,TDG,NYSE,stock
832,LITE,NASDAQ,stock
833,STAY,NASDAQ,stock
834,RY,NYSE,stock
835,ROST,NASDAQ,stock
836,SYK,NYSE,stock
837,TRV,NYSE,stock
838,CSL,NYSE,stock
839,GWRE,NYSE,stock
840,ANET,NYSE,stock
841,PCRX,NASDAQ,stock
842,CSIQ,NASDAQ,stock
843,ICHR,NASDAQ,stock
844,WSM,NYSE,stock
845,EXP,NYSE,stock
846,BWA,NYSE,stock
847,SWCH,NYSE,stock
848,ADS,NYSE,stock
849,DRQ,NYSE,stock
850,AXS,NYSE,stock
851,MTDR,NYSE,stock
852,CAJ,NYSE,stock
853,CNI,NYSE,stock
854,TLND,NASDAQ,stock
855,ILMN,NASDAQ,stock
856,ISRG,NASDAQ,stock
857,CAL,NYSE,stock
858,SAP,NYSE,stock
859,ESNT,NYSE,stock
860,NMFC,NASDAQ,stock
861,BLDP,NASDAQ,stock
862,OI,NYSE,stock
